et celui la ? 
:
# PHASE 1 : Algorithmes et Structures de Données (Weeks 19-34, 1120h, 16000 XP)

---

## Vue d'ensemble Phase 1

| Module | Semaines | Heures | XP | Contenu Principal |
|--------|----------|--------|-----|-------------------|
| 1.1 | 19-20 | 140h | 2000 | Arrays, Sorting & Searching |
| 1.2 | 21-22 | 140h | 2000 | Hash Tables & Strings |
| 1.3 | 23-24 | 140h | 2000 | Trees & Advanced Tree Structures |
| 1.4 | 25-26 | 140h | 2000 | Graphs |
| 1.5 | 27-28 | 140h | 2000 | Dynamic Programming |
| 1.6 | 29-30 | 140h | 2000 | Number Theory & Mathematics |
| 1.7 | 31-32 | 140h | 2000 | Advanced Algorithms & Techniques |
| 1.8 | 33-34 | 140h | 2000 | Testing, Quality & Competition Prep |
| **TOTAL** | **16 sem** | **1120h** | **16000** | **Algorithmes & DS Complets** |

---

## Module 1.1 : Arrays, Sorting & Searching (Weeks 19-20, 140h, 2000 XP)

### Sous-module 1.1.1 : Révision Architecture Mémoire
| # | Sous-sous-module | Contenu |
| e | Pattern matching | Concatenate P$T |
| f | Match | Z[i] = m |
| g | Complexité | O(n + m) |
| h | Applications | String compression, repetitions |
| i | Comparaison KMP | Souvent plus simple |

### Sous-module 1.2.14 : Rabin-Karp
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Idée | Comparer hash au lieu de strings |
| b | Rolling hash | Mettre à jour O(1) |
| c | Polynomial hash | h = Σ s[i] × base^i mod prime |
| d | Update | Remove first, add last |
| e | Spurious hits | Collisions, vérifier |
| f | Complexité moyenne | O(n + m) |
| g | Complexité pire | O(nm) si beaucoup de collisions |
| h | Multiple patterns | Très efficace |
| i | 2D pattern matching | Extension |

### Sous-module 1.2.15 : Boyer-Moore
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Idée | Comparer de droite à gauche |
| b | Bad character rule | Skip selon caractère mismatch |
| c | Bad character table | Dernière occurrence de chaque char |
| d | Good suffix rule | Skip selon suffixe match |
| e | Good suffix cases | Suffix réapparaît, prefix match |
| f | Prétraitement | Tables de skip |
| g | Algorithme | Combiner les deux rules |
| h | Complexité moyenne | Sous-linéaire |
| i | Complexité pire | O(nm) sans Galil rule |
| j | Boyer-Moore-Galil | O(n) garanti |
| k | Meilleur pour | Longs patterns, grands alphabets |

### Sous-module 1.2.16 : Aho-Corasick Algorithm
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Problème | Multi-pattern matching |
| b | Structure | Trie + failure links |
| c | Trie construction | O(Σ|Pi|) |
| d | Failure links | BFS, similaire à KMP |
| e | Output links | Suffix matches |
| f | Search | O(n + m + z) où z = occurrences |
| g | Implémentation | Détail complet |
| h | Applications | Spam filter, DNA, virus scan |
| i | Comparaison | vs multiple Rabin-Karp |

### Sous-module 1.2.17 : Manacher's Algorithm
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Problème | Longest palindromic substring |
| b | Naive | O(n²) ou O(n³) |
| c | Transformation | Insert # between chars |
| d | P[i] | Radius of palindrome centered at i |
| e | Center, Right | Tracking variables |
| f | Mirror | Utiliser symétrie |
| g | Algorithme | O(n) |
| h | Longest palindrome | max(P) |
| i | Applications | All palindromic substrings |

### Sous-module 1.2.18 : Trie
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Structure | Nœud par caractère |
| b | TrieNode | children[], isEndOfWord, count |
| c | Children | Array[26] ou HashMap |
| d | Insert | Descendre/créer chemin |
| e | Search | Descendre, vérifier end |
| f | StartsWith | Prefix matching |
| g | Delete | Complexe, nettoyage |
| h | Count words with prefix | Avec compteur |
| i | Complexité | O(m) pour mot longueur m |
| j | Espace | Potentiellement grand |
| k | Compressed Trie | Radix tree |
| l | Applications | Autocomplete, spell check, IP routing |

### Sous-module 1.2.19 : Suffix Array
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Définition | Tableau trié des indices de suffixes |
| b | Exemple | "banana" → [5,3,1,0,4,2] |
| c | Construction naïve | O(n² log n) |
| d | Construction O(n log n) | Prefix doubling |
| e | Construction O(n log² n) | Simpler doubling |
| f | Construction O(n) | SA-IS algorithm |
| g | LCP array | Longest common prefix |
| h | Kasai's algorithm | LCP en O(n) |
| i | Pattern matching | Binary search O(m log n) |
| j | With LCP | O(m + log n) |
| k | Applications | Substring search, répétitions |

### Sous-module 1.2.20 : Suffix Tree
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Définition | Trie compressé de tous suffixes |
| b | Propriétés | n feuilles, O(n) nœuds internes |
| c | Edge labels | Substrings |
| d | Ukkonen's algorithm | Construction O(n) online |
| e | Phases et extensions | Implicit → explicit |
| f | Suffix links | Optimisation traversal |
| g | Pattern matching | O(m) |
| h | LCS of two strings | Avec suffix tree généralisé |
| i | Longest repeated substring | Plus profond nœud interne |
| j | Espace | O(n) mais constante élevée |
| k | vs Suffix Array | Trade-offs |

### Sous-module 1.2.21 : Suffix Automaton
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Définition | Minimal DFA reconnaissant tous suffixes |
| b | États | Equivalence classes de right contexts |
| c | Suffix links | Vers suffixe le plus long différent |
| d | Construction | O(n) online |
| e | Nombre d'états | ≤ 2n-1 |
| f | Nombre de transitions | ≤ 3n-4 |
| g | Applications | All distinct substrings count |
| h | Applications | Substring matching |
| i | Comparaison | vs Suffix Tree |

### String Exercises (4h)
| # | Exercice | Contenu |
|---|----------|---------|
| a | Implement all algorithms | KMP, Z, Boyer-Moore |
| b | Palindromes | Longest, all, count |
| c | Anagrammes | Détecter, grouper |
| d | Pattern matching comparison | Benchmark |
| e | Autocomplete | Avec Trie |
| f | Spell checker | Edit distance + Trie |

### LeetCode Hash & Strings (Vendredi 10h)
| # | Problème | Difficulté | Thème |
|---|----------|------------|-------|
| a | LC 1 Two Sum | Easy | Hash |
| b | LC 49 Group Anagrams | Medium | Hash |
| c | LC 242 Valid Anagram | Easy | Hash |
| d | LC 383 Ransom Note | Easy | Hash |
| e | LC 387 First Unique Char | Easy | Hash |
| f | LC 438 Find Anagrams | Medium | Sliding + Hash |
| g | LC 3 Longest Substring | Medium | Hash + Sliding |
| h | LC 5 Longest Palindrome | Medium | DP/Manacher |
| i | LC 28 strStr | Easy | KMP |
| j | LC 214 Shortest Palindrome | Hard | KMP |
| k | LC 208 Implement Trie | Medium | Trie |
| l | LC 212 Word Search II | Hard | Trie + Backtrack |
| m | LC 139 Word Break | Medium | DP + Trie |
| n | LC 472 Concatenated Words | Hard | Trie + DP |
| o | LC 336 Palindrome Pairs | Hard | Trie |

### PROJET 1.2 : Text Search Engine (Samedi-Dimanche 32h)
| # | Feature | Contenu |
|---|---------|---------|
| a | Hash table backend | Robin Hood hashing |
| b | Inverted index | Word → document IDs |
| c | Trie autocomplete | Prefix suggestions |
| d | Pattern matching | KMP for exact |
| e | Fuzzy search | Edit distance |
| f | Wildcard search | Simple patterns |
| g | Phrase search | Consecutive words |
| h | Ranking | TF-IDF basique |
| i | Index persistence | Save/load |
| j | CLI interface | Query interface |
| k | Benchmark | Performance sur corpus |
| l | Bonus: Suffix array | For substring search |
| m | Bonus: Aho-Corasick | Multi-pattern |
| n | Bonus: Spell correction | Suggestions |

---

## Module 1.3 : Trees & Advanced Tree Structures (Weeks 23-24, 140h, 2000 XP)

### Sous-module 1.3.1 : Binary Search Tree - Basics
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Propriété BST | left < root < right |
| b | Structure Node | key, value, left, right, parent |
| c | Search | Descendre selon comparaison |
| d | Minimum | Aller tout à gauche |
| e | Maximum | Aller tout à droite |
| f | Successor | Plus petit plus grand |
| g | Predecessor | Plus grand plus petit |
| h | Insert | Trouver place, créer feuille |
| i | Complexité | O(h) où h = hauteur |

### Sous-module 1.3.2 : BST Traversals
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Inorder | Gauche, racine, droite → trié |
| b | Inorder iterative | Avec stack |
| c | Preorder | Racine, gauche, droite |
| d | Preorder iterative | Avec stack |
| e | Postorder | Gauche, droite, racine |
| f | Postorder iterative | Avec deux stacks ou un |
| g | Level-order (BFS) | Avec queue |
| h | Morris traversal | O(1) espace, inorder |
| i | Morris preorder | O(1) espace |
| j | Applications | Serialization, expression trees |

### Sous-module 1.3.3 : BST Deletion
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Cas 0: Feuille | Supprimer simplement |
| b | Cas 1: Un enfant | Remplacer par enfant |
| c | Cas 2: Deux enfants | Remplacer par successor |
| d | Alternative | Remplacer par predecessor |
| e | Implémentation | Détail avec parent pointers |
| f | Implémentation | Version récursive |
| g | Lazy deletion | Marquer comme supprimé |

### Sous-module 1.3.4 : BST Analysis
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Hauteur best | O(log n), équilibré |
| b | Hauteur worst | O(n), dégénéré |
| c | Quand dégénéré | Insertion triée |
| d | Hauteur moyenne | O(log n) pour random |
| e | Proof average | Analyse probabiliste |
| f | Motivation équilibrage | Garantir O(log n) |

### Sous-module 1.3.5 : BST Advanced Operations
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Floor | Plus grand ≤ key |
| b | Ceil | Plus petit ≥ key |
| c | Rank | Nombre d'éléments < key |
| d | Select | K-ième élément |
| e | Range query | Éléments dans [lo, hi] |
| f | Range count | Nombre dans range |
| g | Augmented BST | Stocker size dans nœuds |
| h | Order statistics tree | Rank et Select O(log n) |

### Sous-module 1.3.6 : AVL Trees - Theory
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Balance factor | height(right) - height(left) |
| b | AVL condition | BF ∈ {-1, 0, 1} |
| c | Hauteur AVL | h < 1.44 log₂(n+2) |
| d | Fibonacci trees | Minimum nodes for height h |
| e | N(h) | N(h) = N(h-1) + N(h-2) + 1 |
| f | Preuve | Par récurrence |

### Sous-module 1.3.7 : AVL Rotations
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Right rotation | Pour LL case |
| b | Right rotation code | Détail pointers |
| c | Left rotation | Pour RR case |
| d | Left rotation code | Détail pointers |
| e | LR rotation | Left puis Right |
| f | RL rotation | Right puis Left |
| g | Update heights | Après rotation |
| h | BST property preserved | Preuve |

### Sous-module 1.3.8 : AVL Insert
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Insert BST | Standard insertion |
| b | Update heights | Remonter |
| c | Check balance | |BF| > 1 |
| d | LL case | BF = -2, left.BF = -1 |
| e | RR case | BF = 2, right.BF = 1 |
| f | LR case | BF = -2, left.BF = 1 |
| g | RL case | BF = 2, right.BF = -1 |
| h | Single rotation | LL, RR |
| i | Double rotation | LR, RL |
| j | Propagation | Une rotation suffit pour insert |

### Sous-module 1.3.9 : AVL Delete
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Delete BST | Standard deletion |
| b | Update heights | Remonter depuis supprimé |
| c | Rebalance | À chaque ancêtre |
| d | Multiple rotations | Peut nécessiter jusqu'à racine |
| e | Complexité | O(log n) rotations max |
| f | Implémentation | Détail complet |

### Sous-module 1.3.10 : Red-Black Trees - Properties
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Propriété 1 | Chaque nœud est rouge ou noir |
| b | Propriété 2 | Racine est noire |
| c | Propriété 3 | NIL (feuilles) sont noires |
| d | Propriété 4 | Rouge n'a pas enfant rouge |
| e | Propriété 5 | Même black-height sur tout chemin |
| f | Black-height | Nombre de noirs jusqu'aux feuilles |
| g | Hauteur max | h ≤ 2 log₂(n+1) |
| h | Preuve | Merge to 2-3-4 tree |

### Sous-module 1.3.11 : Red-Black Insert
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Insert BST | Nouveau nœud rouge |
| b | Cas 0 | Root → color black |
| c | Cas 1 | Parent black → done |
| d | Cas 2 | Uncle red → recolor |
| e | Cas 3 | Uncle black, triangle → rotate |
| f | Cas 4 | Uncle black, line → rotate + recolor |
| g | Propagation | Remonter si cas 2 |
| h | Max rotations | 2 pour insert |
| i | Implémentation | Détail avec NIL sentinelle |

### Sous-module 1.3.12 : Red-Black Delete
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Delete BST | Standard deletion |
| b | Double black | Nœud qui "absorbe" un noir |
| c | Cas 1 | Sibling red → rotate + recolor |
| d | Cas 2 | Sibling black, nephews black → recolor |
| e | Cas 3 | Sibling black, far nephew red → rotate |
| f | Cas 4 | Sibling black, near nephew red → rotate |
| g | Propagation | Peut remonter jusqu'à root |
| h | Max rotations | 3 pour delete |
| i | Implémentation | Détail complet |

### Sous-module 1.3.13 : AVL vs Red-Black Comparison
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Équilibre | AVL plus strict |
| b | Hauteur | AVL ≤ 1.44 log n, RB ≤ 2 log n |
| c | Recherche | AVL légèrement plus rapide |
| d | Insert rotations | AVL ≤ 2, RB ≤ 2 |
| e | Delete rotations | AVL ≤ O(log n), RB ≤ 3 |
| f | Usage typique | AVL: read-heavy, RB: write-heavy |
| g | Implémentations réelles | RB dans std::map, TreeMap |
| h | Code complexity | RB plus complexe |

### Sous-module 1.3.14 : Treaps
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Concept | Tree + Heap |
| b | Structure | Key (BST), Priority (Heap) |
| c | Random priority | Pour équilibre probabiliste |
| d | Insert | BST insert + rotations pour heap |
| e | Delete | Rotate down jusqu'à feuille |
| f | Split | Diviser par key |
| g | Merge | Fusionner deux treaps |
| h | Complexité | O(log n) expected |
| i | Avantages | Simple, pas de recoloring |
| j | Applications | Implicit treap pour sequences |

### Sous-module 1.3.15 : Splay Trees
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Idée | Amener accédé à la racine |
| b | Zig | Simple rotation (root parent) |
| c | Zig-zig | Deux rotations même direction |
| d | Zig-zag | Deux rotations directions opposées |
| e | Splaying | Remonter avec zig/zig-zig/zig-zag |
| f | Search | Splay après recherche |
| g | Insert | Splay nouveau nœud |
| h | Delete | Splay, puis join subtrees |
| i | Analyse amortie | O(log n) amorti |
| j | Static optimality | Conjecture |
| k | Working set | Bonne performance pratique |
| l | Applications | Caches, LRU |

### Sous-module 1.3.16 : B-Trees
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Motivation | Minimiser I/O disque |
| b | Ordre t | Min t-1, max 2t-1 clés par nœud |
| c | Hauteur | O(log_t n) |
| d | Propriétés | Toutes feuilles même niveau |
| e | Search | Descendre en cherchant dans nœud |
| f | Insert | Split if full |
| g | Delete | Merge/borrow if underflow |
| h | Complexité I/O | O(log_t n) |
| i | Applications | Databases, file systems |

### Sous-module 1.3.17 : B+ Trees
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Différence B-tree | Données seulement aux feuilles |
| b | Feuilles liées | Liste chaînée |
| c | Nœuds internes | Clés + pointeurs seulement |
| d | Search | Descendre jusqu'à feuille |
| e | Range query | Parcourir feuilles |
| f | Insert with split | Détail algorithme |
| g | Delete with merge | Détail algorithme |
| h | Bulk loading | Construction efficace |
| i | Applications | Index de base de données |
| j | Implémentation | Complète avec tests |

### Sous-module 1.3.18 : Binary Heap Review
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Max-heap/Min-heap | Rappel propriétés |
| b | Array representation | Indices |
| c | Insert | O(log n) |
| d | Extract | O(log n) |
| e | Build heap | O(n) |
| f | Heap sort | O(n log n) |
| g | Decrease/Increase key | O(log n) |
| h | Priority Queue wrapper | Interface |

### Sous-module 1.3.19 : Fibonacci Heaps
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Structure | Collection de trees |
| b | Min pointer | Accès direct au minimum |
| c | Insert | O(1) |
| d | Get-min | O(1) |
| e | Merge | O(1) |
| f | Extract-min | O(log n) amorti |
| g | Decrease-key | O(1) amorti |
| h | Cascading cuts | Pour decrease-key |
